timestamp,x,y,z,qx,qy,qz,qw
1751868953897,-11.117414474487305,-0.04038890451192856,-12.059771537780762,0.0025963354855775833,-0.0960918664932251,-0.20297031104564667,0.9744550585746765
1751868959164,-9.889973640441895,11.382064819335938,-12.641755104064941,-0.1302187144756317,0.012307756580412388,-0.1922985464334488,0.9725805521011353
1751868963795,-10.053736686706543,21.35512351989746,-12.616486549377441,-0.12758228182792664,-0.00848485343158245,-0.20362621545791626,0.9706631898880005
1751868968425,-10.021044731140137,31.325511932373047,-12.643046379089355,-0.12965308129787445,-0.008202198892831802,-0.21152178943157196,0.9687008857727051
1751868972943,-10.034711837768555,41.3752326965332,-12.647483825683594,-0.12767437100410461,-0.0077084992080926895,-0.21989500522613525,0.9671018719673157
1751868977522,-10.027265548706055,51.33241653442383,-12.637215614318848,-0.13029956817626953,-0.009036533534526825,-0.22840504348278046,0.9647650122642517
1751868982051,-10.037936210632324,61.35504913330078,-12.66335678100586,-0.12427547574043274,-0.00887191854417324,-0.2371480017900467,0.9634509682655334
1751868986619,-10.03044605255127,71.34099578857422,-12.636505126953125,-0.1283458024263382,-0.009358737617731094,-0.24591690301895142,0.9607105851173401
1751868991131,-10.036288261413574,81.363525390625,-12.62780475616455,-0.12679967284202576,-0.00926232524216175,-0.25517457723617554,0.9584999680519104
1751868995695,-10.026703834533691,91.33988952636719,-12.631985664367676,-0.1255171149969101,-0.010670686140656471,-0.26448380947113037,0.9561275839805603
